id,invest_plan,invest_target,invest_amount,Original_Text
757,0,,,"And one of the things, as an important reminder, is we've got a very broad services portfolio."
760,0,,,And so one of the big factors that drive the services gross margins and relative performance of those different businesses within the portfolio.
796,1,AI,,"Or is it a question of money, i.e., shifting R&D or marketing spend towards AI?"
823,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli, Apple Inc - Investor Relations    [52]
--------------------------------------------------------------------------------
Operator, could we please get the last question?"
833,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli, Apple Inc - Investor Relations    [56]
--------------------------------------------------------------------------------
All right."
835,0,,,A replay of today's call will be available for two weeks on Apple Podcasts or as a webcast on apple.com/investor and via telephone.
856,0,,,"

Refinitiv StreetEvents Event Transcript
E D I T E D   V E R S I O N

Q3 2024 Apple Inc Earnings Call
AUGUST 01, 2024 / 9:00PM GMT

================================================================================
Corporate Participants
================================================================================

 * Luca Maestri
   Apple Inc - Chief Financial Officer, Senior Vice President
 * Suhasini Chandramouli
   Apple Inc - Director of Investor Relations
 * Timothy Cook
   Apple Inc - Chief Executive Officer, Director

================================================================================
Conference Call Participiants
================================================================================

 * Krish Sankar
   TD Cowen and Company, LLC - Analyst
 * Atif Malik
   Citigroup Inc. - Analyst
 * Amit Daryanani
   Evercore ISI Institutional Equities - Analyst
 * Samik Chatterjee
   JPMorgan Chase & Co - Analyst
 * Richard Kramer
   Arete Research Services LLP - Analyst
 * Benjamin Reitzes
   Melius Research LLC - Analyst
 * David Vogt
   UBS - Analyst
 * Erik Woodring
   Morgan Stanley Co. LLC - Analyst
 * Michael Ng
   Goldman Sachs & Company, Inc. - Analyst
 * Wamsi Mohan
   BofA Securities Inc - Analyst

================================================================================
Presentation
--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [1]
--------------------------------------------------------------------------------

          Good afternoon, and welcome to the Apple Q3 fiscal year 2024 earnings conference call."
857,0,,,"My name is Suhasini Chandramouli, Director of Investor Relations."
872,0,,,Apple intelligence built on years of innovation and investment in AI and machine learning.
892,0,,,"Mac revenue was $7 billion, up 2% from a year ago."
927,0,,,It's while we're going to keep investing in the meaningful innovation that enriches the lives of all of our customers.
949,0,,,"Mac generated $7 billion in revenue, up 2% year over year, driven by the MacBook Air powered by the M3 chip."
960,0,,,"We continue to have great momentum in services as the growth of our installed base of active devices sets a strong foundation for the future expansion of our ecosystem, and we see increased customer engagement with our services offerings, both transacting accounts and paid accounts reaching a new all-time high with paid accounts growing double digits year over year."
962,0,,,"We have well over $1 billion paid subscriptions across the services on our platform, more than double the number that we had only four years ago."
970,0,,,We ended the quarter with $153 billion in cash and marketable securities.
971,0,,,"We repaid $4.3 billion in maturing debt and increased commercial paper by $1 billion, leaving us with total debt of $101 billion."
972,0,,,"As a result, net cash was $52 billion at the end of the quarter."
973,0,,,"During the quarter, we returned over $32 billion to shareholders, including $3.9 billion in dividends and equivalents and $26 billion through open market repurchases of $139 million Apple shares."
982,0,,,"We expect OI&E to be around negative $50 million, excluding any potential impact from the mark-to-market or minority investments and our tax rate to be around 16.5%."
985,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [4]
--------------------------------------------------------------------------------

          Thank you, Luca."
1034,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [8]
--------------------------------------------------------------------------------

          Thank you, Eric."
1069,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [15]
--------------------------------------------------------------------------------

          Thank you, Ben."
1086,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [23]
--------------------------------------------------------------------------------

          Thanks, Mike."
1122,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [29]
--------------------------------------------------------------------------------

          Thanks, Amit."
1128,0,,,"How should investors think about the monetization models around these partnerships where the CapEx investments are clearly being made by these potential partners, but you're obviously there leveraging your distribution to your very attractive installed base."
1160,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [36]
--------------------------------------------------------------------------------

          Thanks, Wasmi."
1194,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [43]
--------------------------------------------------------------------------------

          Thank you, Krish."
1236,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [50]
--------------------------------------------------------------------------------

          Thank you, David."
1285,0,,,"And so it's important to keep that in mind if you sort of take a step back, however, and look at the business across the trailing 12-months, it's grown -- the wearables, home and accessory business has grown to almost $40 billion, which is double what it was five years ago."
1287,0,,,"--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [64]
--------------------------------------------------------------------------------

          Thank you, Samik."
1290,0,,,"--------------------------------------------------------------------------------
Richard Kramer,  Arete Research Services LLP - Analyst    [66]
--------------------------------------------------------------------------------

          Thanks very much, Tim you referenced the investment in innovation and your R&D sales ratio reached what I think was a June quarter record even before launching Apple Intelligence."
1291,0,,,Do you see the rollout of these features requiring further increases in R&D or increases in OpEx or CapEx for cloud compute capacity?
1294,0,,,"--------------------------------------------------------------------------------
Timothy Cook,  Apple Inc - Chief Executive Officer, Director    [67]
--------------------------------------------------------------------------------

          I Clearly, we have increased R&D over time."
1295,0,,,We've been investing in AI and ML for years and in addition to investing more and we've also redeployed certain skills onto AI and ML.
1298,0,,,"On the CapEx part, it's important to remember that we employ a hybrid kind of approach where we do things internally."
1299,0,,,And we have certain partners that we do business with externally where the CapEx would appear in their respective businesses.
1300,0,,,"But yes, I mean, you can expect that there's -- we will continue to invest and increase it year-on-year."
1309,0,,,"Of course, an improvement in the top-line helps the margin expansion that we've had over the last several years and several quarters obviously has helped."
1311,0,,,"On the CapEx front as Tim said, we employ a hybrid model."
1318,0,,,A replay of today's call will be available for two weeks on up Apple Podcast as a webcast on apple.com/investor and via telephone.
1336,0,,,"IN NO WAY DOES REFINITIV OR THE APPLICABLE COMPANY ASSUME ANY RESPONSIBILITY FOR ANY INVESTMENT OR OTHER
DECISIONS MADE BASED UPON THE INFORMATION PROVIDED ON THIS WEB SITE OR IN
ANY EVENT TRANSCRIPT."
1337,0,,,"USERS ARE ADVISED TO REVIEW THE APPLICABLE COMPANY'S
CONFERENCE CALL ITSELF AND THE APPLICABLE COMPANY'S SEC FILINGS BEFORE
MAKING ANY INVESTMENT OR OTHER DECISIONS."
1341,0,,,"

Refinitiv StreetEvents Event Transcript
E D I T E D   V E R S I O N

Q4 2024 Apple Inc Earnings Call
OCTOBER 31, 2024 / 9:00PM GMT

================================================================================
Corporate Participants
================================================================================

 * Luca Maestri
   Apple Inc - Chief Financial Officer, Senior Vice President
 * Suhasini Chandramouli
   Apple Inc - Director of Investor Relations
 * Timothy Cook
   Apple Inc - Chief Executive Officer, Director

================================================================================
Conference Call Participiants
================================================================================

 * Atif Malik
   Citigroup Inc. - Analyst
 * Amit Daryanani
   Evercore ISI Institutional Equities - Analyst
 * Samik Chatterjee
   JPMorgan Chase & Co - Analyst
 * Richard Kramer
   Arete Research Services LLP - Analyst
 * Benjamin Reitzes
   Melius Research LLC - Analyst
 * David Vogt
   UBS Securities LLC - Analyst
 * Michael Ng
   Goldman Sachs & Company, Inc. - Analyst
 * Erik Woodring
   Morgan Stanley Co. LLC - Analyst
 * Krish Sankar
   TD Cowen and Company, LLC - Analyst
 * Wamsi Mohan
   BofA Securities Inc - Analyst

================================================================================
Presentation
--------------------------------------------------------------------------------
Suhasini Chandramouli,  Apple Inc - Director of Investor Relations    [1]
--------------------------------------------------------------------------------

          Good afternoon, and welcome to the Apple Q4 fiscal year 2024 earnings conference call."
1342,0,,,"My name is Suhasini Chandramouli, Director of Investor Relations."
1351,0,,,"You can find a reconciliation of these measures in our fourth-quarter and full-year 2024 earnings release, which is available on our Investor Relations website."
1380,0,,,"iPad revenue was $7 billion, 8% higher year over year."
